Text,Date,Likes,Retweets
"RT @neVerAl0nely___: Di tengah semua orang tampil rapih dengan sepatu kinclong, Mualem dateng dengan sepatu yang masih ada sisa lumpur. Buk…",2025-12-09 10:57:48+00:00,0,31
"RT @Mah5Utari: Kondisi SEBELUM &amp; SESUDAH,
Banjir Bandang di Aceh Tamiang,
26/11/2025 https://t.co/dA22De76BM",2025-12-09 10:57:47+00:00,0,53
"RT @puresapphic: Setelah banjir akan ada lebih banyak orang yang hilang pekerjaan, bisnis, rumah, keluarga yang jadi pencari nafkah atau pe…",2025-12-09 10:57:46+00:00,0,8836
"RT @tianziyu999: 🌊 OPEN DONASI GEL. 2 DIPERPANJANG
Untuk Korban Banjir Sumatera

Bencana banjir masih memberikan dampak besar bagi saudara-…",2025-12-09 10:57:46+00:00,0,12
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:46+00:00,0,7406
@valiisaa Sedih banget  kalau ingat nasib gajah &amp; binatang binatang lainnya yg terdampak banjir &amp; penggundulan hutan,2025-12-09 10:57:43+00:00,0,0
RT @detikcom: #Foto Empat ekor gajah jinak milik BKSDA Aceh dikerahkan untuk membantu membersihkan puing kayu sisa banjir bandang di Desa M…,2025-12-09 10:57:41+00:00,0,1248
"RT @tempodotco: Seandainya pemerintah serius menanggapi peringatan Badan Meteorologi, Klimatologi, dan Geofisika (BMKG), dampak banjir di t…",2025-12-09 10:57:40+00:00,0,3832
"RT @puresapphic: Setelah banjir akan ada lebih banyak orang yang hilang pekerjaan, bisnis, rumah, keluarga yang jadi pencari nafkah atau pe…",2025-12-09 10:57:40+00:00,0,8836
"RT @Metro_TV: Sebuah tiang beton di Aceh Tamiang dikenal sebagai saksi masih adanya harapan, bahkan disaat banjir bandang melanda wilayah t…",2025-12-09 10:57:39+00:00,0,86
"RT @as_siglie: Banjir Sibolga, Aceh dan Daerah Sumatra lain nya 😭
https://t.co/0TdOU3zjz8",2025-12-09 10:57:39+00:00,0,0
RT @Aceh: Warga Aceh merasa kecewa setelah menonton di YouTube laporan para pembantu Presiden @Prabowo dalam rapat terbatas penanganan banj…,2025-12-09 10:57:38+00:00,0,390
RT @susipudjiastuti: Di tempat lain crazy rich tebang 400 rb hektar bahkan 5X nya untuk membuat bencana banjir bersama gelondongan kayu dan…,2025-12-09 10:57:38+00:00,0,1735
"RT @tempodotco: Seandainya pemerintah serius menanggapi peringatan Badan Meteorologi, Klimatologi, dan Geofisika (BMKG), dampak banjir di t…",2025-12-09 10:57:35+00:00,0,3832
"Jalan terjal tetap dilewat Team #NUPeduliBencanaSumatera untuk menyalurkan bantuan meringankan beban kepada saudara kita yang terdampak banjir di Provinsi Aceh.
#berkhidmahtanpabatas 
@nucare_lazisnu https://t.co/N5w7d5UPi9",2025-12-09 10:57:35+00:00,0,0
Banjir dimana mana,2025-12-09 10:57:35+00:00,0,0
"RT @OmJ_J3Nggott: Pantauan udara 

Perjalanan kayu yang sangat panjang 
🔻Terlihat sangat banyak kayu yang dikirim banjir sampai ke pantai w…",2025-12-09 10:57:32+00:00,0,12
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:32+00:00,0,7406
"RT @tempodotco: Seandainya pemerintah serius menanggapi peringatan Badan Meteorologi, Klimatologi, dan Geofisika (BMKG), dampak banjir di t…",2025-12-09 10:57:31+00:00,0,3832
"RT @NenkMonica: Banjir yang menggenangi Dusun Kampek dan Dusun Pengasinan, Desa Karangligar, Kecamatan Telukjambe Barat, Kabupaten Karawang…",2025-12-09 10:57:28+00:00,0,6
"RT @jilulisme: Parpol paling hina di republik ini namanya @psi_id ,norak banget kader jd Menteri langsung boyong segerbong ngurusin urusan…",2025-12-09 10:57:28+00:00,0,41
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:26+00:00,0,7406
RT @humaniesproject: Psikososial bersama anak-anak yang terkena dampak dari bencana banjir di daerah Bireun. https://t.co/YVl9I9BmSr,2025-12-09 10:57:26+00:00,0,308
"RT @NenkMonica: Banjir yang menggenangi Dusun Kampek dan Dusun Pengasinan, Desa Karangligar, Kecamatan Telukjambe Barat, Kabupaten Karawang…",2025-12-09 10:57:24+00:00,0,6
"RT @lilaccountz: tsunami 2004 vs banjir bandang 2025 

one is a purely natural disaster, the other is a disaster caused by environmental da…",2025-12-09 10:57:23+00:00,0,4922
RT @FahmiAgustian: PSI dulu paling ribut kalau Jakarta banjir saat Anies jadi Gubernur. Sekarang kadernya jadi Menhut lalu ada banjir di Su…,2025-12-09 10:57:22+00:00,0,786
"Netizen Beberkan Kerusakan Hutan Sebelum Banjir Bandang Porak-Porandakan Sumatera, Penampakannya Bikin Merinding
https://t.co/RjgSjaeXGg",2025-12-09 10:57:19+00:00,0,0
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:17+00:00,0,7406
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:16+00:00,0,7406
"RT @rgoestama: Eh gmn? Mobil2 warga kejebak banjir bandang di tengah jalan, sampe akhirnya meninggal dan skrg jenazah berikut mobil2 nya ma…",2025-12-09 10:57:14+00:00,0,4351
"RT @afrkml: Jenazah &amp; bangkai menumpuk
Air bersih gk ada, semuanya kotor &amp; busuk
Makan 1 sendok sehari
Listrik padam
Internet putus
Ada yg…",2025-12-09 10:57:13+00:00,0,8151
"RT @afrkml: Jenazah &amp; bangkai menumpuk
Air bersih gk ada, semuanya kotor &amp; busuk
Makan 1 sendok sehari
Listrik padam
Internet putus
Ada yg…",2025-12-09 10:57:13+00:00,0,8151
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:12+00:00,0,7406
"RT @Eki866962220749: Klu pentil lo yg tegang udh gw mainin memek lo auto banjir
Klu memek lo dah gw mainin auto mancer²
Gw dah paham bangt…",2025-12-09 10:57:10+00:00,0,0
"RT @rgoestama: Eh gmn? Mobil2 warga kejebak banjir bandang di tengah jalan, sampe akhirnya meninggal dan skrg jenazah berikut mobil2 nya ma…",2025-12-09 10:57:10+00:00,0,4351
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:10+00:00,0,7406
RT @WagimanDeep212_: Kalo ada peringkat Goblok di Komisi 1 DPRRI bisa jadi Endipat Wijaya inih haqul yaqueen menempati peringkat Namber wan…,2025-12-09 10:57:09+00:00,0,47
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 10:57:09+00:00,0,2360
"RT @sappheirosteam: Pendistrubusian bantuan oleh @jars_medan dan @rumahzakat ke Kelurahan Terjun Marelan, Medan. Kata warga setempat sejak…",2025-12-09 10:57:08+00:00,0,166
RT @Aceh: Warga Aceh merasa kecewa setelah menonton di YouTube laporan para pembantu Presiden @Prabowo dalam rapat terbatas penanganan banj…,2025-12-09 10:57:08+00:00,0,390
"RT @kumparan: Kemendagri resmi menjatuhkan sanksi pemberhentian sementara selama tiga bulan kepada Bupati Aceh Selatan, Mirwan MS, karena p…",2025-12-09 10:57:08+00:00,0,1
"RT @AidaGreenbury: A Sumatran elephant tasked to clear logging debris after deforestation and mudslide. 

https://t.co/yQHmIzEZPl https://t…",2025-12-09 10:57:07+00:00,0,187
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 10:57:05+00:00,0,2360
"RT @tempodotco: Seandainya pemerintah serius menanggapi peringatan Badan Meteorologi, Klimatologi, dan Geofisika (BMKG), dampak banjir di t…",2025-12-09 10:57:05+00:00,0,3832
"@ngalamfess Hampir tiap hari hujan dek malanh, hati hati yo nder lek dek malang kota ada yang banjir",2025-12-09 10:57:04+00:00,0,0
"RT @rgoestama: Eh gmn? Mobil2 warga kejebak banjir bandang di tengah jalan, sampe akhirnya meninggal dan skrg jenazah berikut mobil2 nya ma…",2025-12-09 10:57:03+00:00,0,4351
"RT @Srik4ndiMuslim2: Nama yang harus bertanggung jawab: Raja Juli (PSI), Hanif Faisol (menteri LH), dan Bahlil (menteri ESDM).
#BersihkanKa…",2025-12-09 10:57:02+00:00,0,31
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:02+00:00,0,7406
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:57:01+00:00,0,7406
"RT @lilaccountz: tsunami 2004 vs banjir bandang 2025 

one is a purely natural disaster, the other is a disaster caused by environmental da…",2025-12-09 10:56:59+00:00,0,4922
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:56:59+00:00,0,7406
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:56:57+00:00,0,7406
RT @salam4jari: Seorang advokat bernama Arjana Bagaskara Solichin menggugat pemerintah ke PTUN Jakarta terkait penanganan banjir besar di A…,2025-12-09 10:56:56+00:00,0,268
