Text,Date,Likes,Retweets,Sentimen,Kategori
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 10:56:52+00:00,0,1523,Netral,Banjir
RT @Bambangmulyonoo: Seperti ini banjir gelondongan dimulai...... https://t.co/8Un015nxP4,2025-12-09 10:56:47+00:00,0,47,Netral,Banjir
RT @Aceh: Kota Kuala Simpang. Kondisi Aceh Tamiang Seperti Kota Mati ☠️. Semua orang yang tidak bisa mengungsi keluar perlu bantuan 🍚🚰💊⛺️.…,2025-12-09 10:56:47+00:00,0,29,Netral,Banjir
"RT @lilaccountz: tsunami 2004 vs banjir bandang 2025 

one is a purely natural disaster, the other is a disaster caused by environmental da…",2025-12-09 10:56:46+00:00,0,4922,Negatif,Banjir
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 10:56:42+00:00,0,1523,Netral,Banjir
"Menteri Dalam Negeri (Mendagri) Tito Karnavian menuturkan, kegiatan magang itu diberikan demi membina kembali Bupati Aceh Selatan Mirwan MS yang diberhentikan karena berangkat umrah saat daerahnya dilanda bencana banjir dan longsor.

👉🏻Baca selengkapnya https://t.co/KteAA8ZyIx https://t.co/WsOJAOGow1",2025-12-09 10:56:41+00:00,0,0,Netral,Banjir
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:56:40+00:00,0,7406,Netral,Banjir
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:56:40+00:00,0,7406,Netral,Banjir
"RT @puresapphic: Setelah banjir akan ada lebih banyak orang yang hilang pekerjaan, bisnis, rumah, keluarga yang jadi pencari nafkah atau pe…",2025-12-09 10:56:40+00:00,0,8836,Netral,Banjir
"RT @afrkml: Jenazah &amp; bangkai menumpuk
Air bersih gk ada, semuanya kotor &amp; busuk
Makan 1 sendok sehari
Listrik padam
Internet putus
Ada yg…",2025-12-09 10:56:34+00:00,0,8151,Netral,Banjir
